participant_id	age	sex	hand
sub-1001	30	F	R
sub-1002	30	M	R
sub-1003	24	F	R
sub-1004	30	M	R
sub-1005	26	M	R
sub-1006	22	F	R
sub-1007	20	F	R
sub-1008	31	F	R
sub-1009	27	F	R
sub-1010	26	F	R
